committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,2BA5267646541B61F51,1378595,CCM,CAMPAIGN COMMITTEE,C00614214,C00614214,BERGMAN FOR CONGRESS,MI,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,11/7/19 0:00,1000,H,HOUSE,1,H6MI01226,"BERGMAN, JACK",JACK,BERGMAN,,,,MI,MICHIGAN,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,ACME,49610,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864205,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,3538981CFC7F9DB1921,1378595,CCM,CAMPAIGN COMMITTEE,C00408534,C00408534,BILIRAKIS FOR CONGRESS,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,9/24/19 0:00,1000,H,HOUSE,12,H6FL09070,"BILIRAKIS, GUS MICHAEL",GUS,BILIRAKIS,MICHAEL,,,FL,FLORIDA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,TARPON SPRINGS,346880606,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864205,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,784BBA663A81649A29C,1378595,CCM,CAMPAIGN COMMITTEE,C00500421,C00500421,BONAMICI FOR CONGRESS,OR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,9/24/19 0:00,1000,H,HOUSE,1,H2OR01133,"BONAMICI, SUZANNE MARIE",SUZANNE,BONAMICI,MARIE,,,OR,OREGON,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,BEAVERTON,97075,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864206,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,01093A1565C5F133882,1378595,CCM,CAMPAIGN COMMITTEE,C00500421,C00500421,BONAMICI FOR CONGRESS,OR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,11/6/19 0:00,1000,H,HOUSE,1,H2OR01133,"BONAMICI, SUZANNE MARIE",SUZANNE,BONAMICI,MARIE,,,OR,OREGON,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,BEAVERTON,97075,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864207,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,F69A1E3FB13CCDBF6CF,1378595,CCM,CAMPAIGN COMMITTEE,C00607416,C00607416,BRIAN FITZPATRICK FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,12/11/19 0:00,1000,H,HOUSE,1,H6PA08277,"FITZPATRICK, BRIAN K.",BRIAN,FITZPATRICK,K.,,,PA,PENNSYLVANIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,LANGHORNE,19047,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864207,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,3855C9CC82BBD990780,1378595,PAC,POLITICAL ACTION COMMITTEE,C00655423,C00655423,BRIDGE THE GAP PAC,MD,BRIDGE THE GAP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2019 CONTRIBUTION,,,7/15/19 0:00,1000,,,,,,,,,,,,,P2019,CONTRIBUTION,PRIMARY,2019,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,GAITHERSBURG,20883,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864208,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,0C1D80C7488AF10A039,1378595,CCM,CAMPAIGN COMMITTEE,C00468256,C00468256,BUCSHON FOR CONGRESS,IN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,9/24/19 0:00,1000,H,HOUSE,8,H0IN08114,"BUCSHON, LARRY DEAN",LARRY,BUCSHON,DEAN,,,IN,INDIANA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,NEWBURGH,476290250,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864208,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,DB1B0DA8EA7998ECDE0,1378595,CCM,CAMPAIGN COMMITTEE,C00543967,C00543967,BUDDY CARTER FOR CONGRESS,GA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,7/15/19 0:00,1000,H,HOUSE,1,H4GA01039,"CARTER, EARL L. B.",EARL,CARTER,L. B.,,,GA,GEORGIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,SAVANNAH,31412,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864208,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,D8391FD77AD02FD7902,1378595,CCM,CAMPAIGN COMMITTEE,C00652149,C00652149,BURCHETT FOR CONGRESS,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,7/15/19 0:00,1000,H,HOUSE,2,H8TN02119,"BURCHETT, TIM",TIM,BURCHETT,,,,TN,TENNESSEE,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,KNOXVILLE,37950,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864209,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,60EBB8A7EEE17C2F8DE,1378595,CCM,CAMPAIGN COMMITTEE,C00648493,C00648493,CASTEN FOR CONGRESS,IL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 PRIMARY,,,12/12/19 0:00,1000,H,HOUSE,6,H8IL06139,"CASTEN, SEAN",SEAN,CASTEN,,,,IL,ILLINOIS,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,DOWNERS GROVE,60515,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864210,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
