first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Rob,Bishop,"Bishop, Rob",H2UT01094,11%,HOUSE,3%,HOUSE,9%,HOUSE
Chris,Stewart,"Stewart, Chris",H2UT02324,7%,HOUSE,3%,HOUSE,6%,HOUSE
John,Curtis,"Curtis, John",H8UT03238,25%,HOUSE,3%,HOUSE,NaN,HOUSE
Mia,Love,"Love, Mia",H2UT04023,7%,HOUSE,NaN,NaN,13%,HOUSE
Ben,McAdams,"McAdams, Ben",H8UT04053,NaN,NaN,86%,HOUSE,NaN,NaN
Peter,Welch,"Welch, Peter",H6VT00160,86%,HOUSE,97%,HOUSE,97%,HOUSE
Rob,Wittman,"Wittman, Rob",H8VA01147,11%,HOUSE,3%,HOUSE,9%,HOUSE
Bob,Goodlatte,"Goodlatte, Bob",H2VA06115,3%,HOUSE,NaN,NaN,9%,HOUSE
Dave,Brat,"Brat, Dave",H4VA07143,21%,HOUSE,NaN,NaN,9%,HOUSE
Elaine,Luria,"Luria, Elaine",H8VA02111,NaN,NaN,97%,HOUSE,NaN,NaN
Bobby,Scott,"Scott, Bobby",H6VA01117,93%,HOUSE,97%,HOUSE,100%,HOUSE
Donald,McEachin,"McEachin, Donald",H6VA04061,77%,HOUSE,100%,HOUSE,94%,HOUSE
Denver,Riggleman,"Riggleman, Denver",H8VA05171,NaN,NaN,17%,HOUSE,NaN,NaN
Ben,Cline,"Cline, Ben",H8VA06104,NaN,NaN,0%,HOUSE,NaN,NaN
Abigail,Spanberger,"Spanberger, Abigail",H8VA07094,NaN,NaN,97%,HOUSE,NaN,NaN
Don,Beyer,"Beyer, Don",H4VA08224,93%,HOUSE,97%,HOUSE,97%,HOUSE
Morgan,Griffith,"Griffith, Morgan",H0VA09055,21%,HOUSE,7%,HOUSE,13%,HOUSE
Barbara,Comstock,"Comstock, Barbara",H4VA10089,19%,HOUSE,NaN,NaN,19%,HOUSE
Jennifer,Wexton,"Wexton, Jennifer",H8VA10106,NaN,NaN,97%,HOUSE,NaN,NaN
Gerry,Connolly,"Connolly, Gerry",H8VA11062,86%,HOUSE,97%,HOUSE,100%,HOUSE
Suzan,DelBene,"DelBene, Suzan",H0WA08046,86%,HOUSE,97%,HOUSE,97%,HOUSE
