first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Ro,Khanna,"Khanna, Ro",H4CA12055,93%,HOUSE,97%,HOUSE,100%,HOUSE
Anna,Eshoo,"Eshoo, Anna",H8CA12098,86%,HOUSE,93%,HOUSE,94%,HOUSE
Zoe,Lofgren,"Lofgren, Zoe",H4CA16049,91%,HOUSE,93%,HOUSE,100%,HOUSE
Jimmy,Panetta,"Panetta, Jimmy",H6CA20152,79%,HOUSE,97%,HOUSE,97%,HOUSE
David,Valadao,"Valadao, David",H2CA20094,4%,HOUSE,NaN,NaN,22%,HOUSE
TJ,Cox,"Cox, TJ",H8CA10167,NaN,NaN,97%,HOUSE,NaN,NaN
Devin,Nunes,"Nunes, Devin",H8CA20059,4%,HOUSE,0%,HOUSE,13%,HOUSE
Kevin,McCarthy,"McCarthy, Kevin",H6CA22125,73%,HOUSE,3%,HOUSE,9%,HOUSE
Salud,Carbajal,"Carbajal, Salud",H6CA24303,73%,HOUSE,97%,HOUSE,91%,HOUSE
Steve,Knight,"Knight, Steve",H4CA25123,7%,HOUSE,NaN,NaN,19%,HOUSE
