first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Jerry,Nadler,"Nadler, Jerry",H2NY17071,0.86,HOUSE,1,HOUSE,1,HOUSE
Daniel,Donovan,"Donovan, Daniel",H6NY11174,0.07,HOUSE,,,0.31,HOUSE
Max,Rose,"Rose, Max",H8NY11113,,,0.93,HOUSE,,
Carolyn,Maloney,"Maloney, Carolyn",H2NY14037,0.89,HOUSE,1,HOUSE,0.97,HOUSE
Adriano,Espaillat,"Espaillat, Adriano",H2NY13096,0.89,HOUSE,1,HOUSE,1,HOUSE
Joseph,Crowley,"Crowley, Joseph",H8NY07046,0.89,HOUSE,,,0.94,HOUSE
Alexandria,Ocasio-Cortez,"Ocasio-Cortez, Alexandria",H8NY15148,,,0.97,HOUSE,,
Jose E,Serrano,"Serrano, Jose E",H0NY18065,0.89,HOUSE,1,HOUSE,1,HOUSE
Eliot,Engel,"Engel, Eliot",H8NY19058,0.93,HOUSE,1,HOUSE,0.97,HOUSE
Nita,Lowey,"Lowey, Nita",H8NY20056,0.79,HOUSE,0.93,HOUSE,0.97,HOUSE
Sean,Maloney,"Maloney, Sean",H2NY22139,0.75,HOUSE,0.97,HOUSE,0.88,HOUSE
John,Faso,"Faso, John",H6NY19169,0.18,HOUSE,,,0.31,HOUSE
Antonio,Delgado,"Delgado, Antonio",H8NY19181,,,0.97,HOUSE,,
Paul,Tonko,"Tonko, Paul",H8NY21203,0.89,HOUSE,1,HOUSE,1,HOUSE
Elise,Stefanik,"Stefanik, Elise",H4NY21079,0.14,HOUSE,0.55,HOUSE,0.28,HOUSE
Claudia,Tenney,"Tenney, Claudia",H4NY22051,0.07,HOUSE,,,0.16,HOUSE
Anthony,Brindisi,"Brindisi, Anthony",H8NY22151,,,0.97,HOUSE,,
Tom,Reed,"Reed, Tom",H0NY29054,0.15,HOUSE,0.21,HOUSE,0.19,HOUSE
John,Katko,"Katko, John",H4NY24073,0.22,HOUSE,0.48,HOUSE,0.31,HOUSE
Joseph,Morelle,"Morelle, Joseph",H8NY25105,,,0.97,HOUSE,,
Chris,Collins,"Collins, Chris",H8NY29032,0.07,HOUSE,0.09,HOUSE,0.06,HOUSE
Brian,Higgins,"Higgins, Brian",H4NY27076,0.67,HOUSE,0.97,HOUSE,0.94,HOUSE
G. K.,Butterfield,"Butterfield, G. K.",H4NC01046,0.85,HOUSE,0.93,HOUSE,1,HOUSE
George,Holding,"Holding, George",H2NC13110,0.07,HOUSE,0.03,HOUSE,0.03,HOUSE
Walter,Jones,"Walter, Jones",H2NC01081,0.27,HOUSE,,,0.34,HOUSE
Greg,Murphy,"Murphy, Greg",H0NC03172,,,0.14,HOUSE,,
